id,composition_id,o.sxx,o.syy,o.szz,o.sxy,o.syz,o.szx
1613055,Al7 Co6 Pr7,-4.19652,-4.19652,-7.00584,0.0,0.0,0.0
1621066,Al1 Mo1 O7 V1,47.8148,46.14709,47.58172,0.0,0.0,0.0
1621136,Al1 Ba2 H7,17.58715,17.57223,17.80561,0.0,0.0,0.09788
1621177,Al1 Ca2 F7,70.58706,72.77406,73.51075,0.0,0.0,0.0
1623287,Al3 B4 O12 Pr1,58.92051,61.34295,59.9099,0.0,0.0,1.21593
1626575,Al1 Br1 Cl4 Sb2 Te2,3.84577,3.73123,4.07771,0.0,0.0,-0.01473
1626627,Al1 Fe1 O3,60.93328,61.89852,62.79825,0.0,0.0,0.0
1627510,Al3 Bi5 Cl12,5.28081,5.28081,5.12211,0.0,0.0,0.0
1631870,Al2 O12 P3 Rb3,30.75774,25.16155,31.75489,0.0,0.0,0.0
1636993,Al1 Ba1 Ca1 F7,66.38292,65.93584,69.14552,0.0,0.0,-0.26116
1638055,Al3 B4 Nd1 O12,59.14138,60.94224,59.46119,0.0,0.0,1.76366
1643415,Al1 H2 Li1 O5 Si1,38.20567,54.85916,41.58021,0.0,0.0,0.0
1644250,Al1 H2 Li1 O5 Si1,49.34413,51.58004,45.59882,0.0,0.0,0.0
1644454,Al2 Cl6 O1 Sn1,4.69354,4.49755,4.07368,0.0,0.0,-0.32105
1644828,Al7 Co6 Nd7,4.01274,4.01274,0.64342,0.0,0.0,0.0
1647249,Al2 Te3,0.74987,0.7813,0.99566,0.0,0.0,0.05217
1652528,Al3 Bi5 Br12,5.04719,5.04719,6.92412,0.0,0.0,0.0
1869561,Al1 Co2 V1,47.11828,47.11828,47.11828,0.0,0.0,0.0
1871328,Al2 Co1 Zr6,4.93544,4.87843,10.08068,-0.04938,0.0,0.0
1878020,Al9 Co2,3.49497,2.57004,3.39822,0.0,0.0,0.22407
1885099,Al16 Co7 Hf6,9.31622,9.31622,9.31622,0.0,0.0,0.0
1885103,Al16 Co7 Zr6,-3.36548,-3.36548,-3.36548,0.0,0.0,0.0
1888815,Al1 Ca1 Fe1 Na1 O12 Si4,49.56117,49.27779,52.5494,0.0,0.0,-1.0624
1895758,Al2 Ba2 Cu1 F14 Mn1,71.31214,72.45359,72.66211,1e-05,0.0,-1.1967
1896434,Al2 Ba2 Co1 F14 Mn1,72.97425,73.72667,74.3407,0.0,0.0,-1.28417
